ID,Class,Lable,Name,Status_1,Status_2
0,image_quality,image_quality,Stick_like image,,
1,image_quality,image_quality,Lumpy_like image,,
2,image_quality,image_quality,Donut_like_image,,
3,image_quality,image_quality,Two_point_like_image,,
4,image_quality,image_quality,Image_spot_large,,
5,image_quality,image_quality,there are not bright star image,,
6,device,Ma,Ma_submirror_01,,
7,device,Ma,Ma_submirror_02,,
8,device,Ma,Ma_submirror_03,,
9,device,Ma,Ma_submirror_04,,
10,device,Ma,Ma_submirror_05,,
11,device,Ma,Ma_submirror_06,,
12,device,Ma,Ma_submirror_07,,
13,device,Ma,Ma_submirror_08,,
14,device,Ma,Ma_submirror_09,,
15,device,Ma,Ma_submirror_10,,
16,device,Ma,Ma_submirror_11,,
17,device,Ma,Ma_submirror_12,,
18,device,Ma,Ma_submirror_13,,
19,device,Ma,Ma_submirror_14,,
20,device,Ma,Ma_submirror_15,,
21,device,Ma,Ma_submirror_16,,
22,device,Ma,Ma_submirror_17,,
23,device,Ma,Ma_submirror_18,,
24,device,Ma,Ma_submirror_19,,
25,device,Ma,Ma_submirror_20,,
26,device,Ma,Ma_submirror_21,,
27,device,Ma,Ma_submirror_22,,
28,device,Ma,Ma_submirror_23,,
29,device,Ma,Ma_submirror_24,,
30,device,Mb,Ma_submirror_01,,
31,device,Mb,Ma_submirror_02,,
32,device,Mb,Ma_submirror_03,,
33,device,Mb,Ma_submirror_04,,
34,device,Mb,Ma_submirror_05,,
35,device,Mb,Ma_submirror_06,,
36,device,Mb,Ma_submirror_07,,
37,device,Mb,Ma_submirror_08,,
38,device,Mb,Ma_submirror_09,,
39,device,Mb,Ma_submirror_10,,
40,device,Mb,Ma_submirror_11,,
41,device,Mb,Ma_submirror_12,,
42,device,Mb,Ma_submirror_13,,
43,device,Mb,Ma_submirror_14,,
44,device,Mb,Ma_submirror_15,,
45,device,Mb,Ma_submirror_16,,
46,device,Mb,Ma_submirror_17,,
47,device,Mb,Ma_submirror_18,,
48,device,Mb,Ma_submirror_19,,
49,device,Mb,Ma_submirror_20,,
50,device,Mb,Ma_submirror_21,,
51,device,Mb,Ma_submirror_22,,
52,device,Mb,Ma_submirror_23,,
53,device,Mb,Ma_submirror_24,,
54,device,Mb,Ma_submirror_25,,
55,device,Mb,Ma_submirror_26,,
56,device,Mb,Ma_submirror_27,,
57,device,Mb,Ma_submirror_28,,
58,device,Mb,Ma_submirror_29,,
59,device,Mb,Ma_submirror_30,,
60,device,Mb,Ma_submirror_31,,
61,device,Mb,Ma_submirror_32,,
62,device,Mb,Ma_submirror_33,,
63,device,Mb,Ma_submirror_34,,
64,device,Mb,Ma_submirror_35,,
65,device,Mb,Ma_submirror_36,,
66,device,Mb,Ma_submirror_37,,
67,device,Ma_fixed_support,Ma_fixed_support_01_1,,
68,device,Ma_fixed_support,Ma_fixed_support_01_2,,
69,device,Ma_fixed_support,Ma_fixed_support_01_3,,
70,device,Ma_fixed_support,Ma_fixed_support_02_1,,
71,device,Ma_fixed_support,Ma_fixed_support_02_2,,
72,device,Ma_fixed_support,Ma_fixed_support_02_3,,
73,device,Ma_fixed_support,Ma_fixed_support_03_1,,
74,device,Ma_fixed_support,Ma_fixed_support_03_2,,
75,device,Ma_fixed_support,Ma_fixed_support_03_3,,
76,device,Ma_fixed_support,Ma_fixed_support_04_1,,
77,device,Ma_fixed_support,Ma_fixed_support_04_2,,
78,device,Ma_fixed_support,Ma_fixed_support_04_3,,
79,device,Ma_fixed_support,Ma_fixed_support_05_1,,
80,device,Ma_fixed_support,Ma_fixed_support_05_2,,
81,device,Ma_fixed_support,Ma_fixed_support_05_3,,
82,device,Ma_fixed_support,Ma_fixed_support_06_1,,
83,device,Ma_fixed_support,Ma_fixed_support_06_2,,
84,device,Ma_fixed_support,Ma_fixed_support_06_3,,
85,device,Ma_fixed_support,Ma_fixed_support_07_1,,
86,device,Ma_fixed_support,Ma_fixed_support_07_2,,
87,device,Ma_fixed_support,Ma_fixed_support_07_3,,
88,device,Ma_fixed_support,Ma_fixed_support_08_1,,
89,device,Ma_fixed_support,Ma_fixed_support_08_2,,
90,device,Ma_fixed_support,Ma_fixed_support_08_3,,
91,device,Ma_fixed_support,Ma_fixed_support_09_1,,
92,device,Ma_fixed_support,Ma_fixed_support_09_2,,
93,device,Ma_fixed_support,Ma_fixed_support_09_3,,
94,device,Ma_fixed_support,Ma_fixed_support_10_1,,
95,device,Ma_fixed_support,Ma_fixed_support_10_2,,
96,device,Ma_fixed_support,Ma_fixed_support_10_3,,
97,device,Ma_fixed_support,Ma_fixed_support_11_1,,
98,device,Ma_fixed_support,Ma_fixed_support_11_2,,
99,device,Ma_fixed_support,Ma_fixed_support_11_3,,
100,device,Ma_fixed_support,Ma_fixed_support_12_1,,
101,device,Ma_fixed_support,Ma_fixed_support_12_2,,
102,device,Ma_fixed_support,Ma_fixed_support_12_3,,
103,device,Ma_fixed_support,Ma_fixed_support_13_1,,
104,device,Ma_fixed_support,Ma_fixed_support_13_2,,
105,device,Ma_fixed_support,Ma_fixed_support_13_3,,
106,device,Ma_fixed_support,Ma_fixed_support_14_1,,
107,device,Ma_fixed_support,Ma_fixed_support_14_2,,
108,device,Ma_fixed_support,Ma_fixed_support_14_3,,
109,device,Ma_fixed_support,Ma_fixed_support_15_1,,
110,device,Ma_fixed_support,Ma_fixed_support_15_2,,
111,device,Ma_fixed_support,Ma_fixed_support_15_3,,
112,device,Ma_fixed_support,Ma_fixed_support_16_1,,
113,device,Ma_fixed_support,Ma_fixed_support_16_2,,
114,device,Ma_fixed_support,Ma_fixed_support_16_3,,
115,device,Ma_fixed_support,Ma_fixed_support_17_1,,
116,device,Ma_fixed_support,Ma_fixed_support_17_2,,
117,device,Ma_fixed_support,Ma_fixed_support_17_3,,
118,device,Ma_fixed_support,Ma_fixed_support_18_1,,
119,device,Ma_fixed_support,Ma_fixed_support_18_2,,
120,device,Ma_fixed_support,Ma_fixed_support_18_3,,
121,device,Ma_fixed_support,Ma_fixed_support_19_1,,
122,device,Ma_fixed_support,Ma_fixed_support_19_2,,
123,device,Ma_fixed_support,Ma_fixed_support_19_3,,
124,device,Ma_fixed_support,Ma_fixed_support_20_1,,
125,device,Ma_fixed_support,Ma_fixed_support_20_2,,
126,device,Ma_fixed_support,Ma_fixed_support_20_3,,
127,device,Ma_fixed_support,Ma_fixed_support_21_1,,
128,device,Ma_fixed_support,Ma_fixed_support_21_2,,
129,device,Ma_fixed_support,Ma_fixed_support_21_3,,
130,device,Ma_fixed_support,Ma_fixed_support_22_1,,
131,device,Ma_fixed_support,Ma_fixed_support_22_2,,
132,device,Ma_fixed_support,Ma_fixed_support_22_3,,
133,device,Ma_fixed_support,Ma_fixed_support_23_1,,
134,device,Ma_fixed_support,Ma_fixed_support_23_2,,
135,device,Ma_fixed_support,Ma_fixed_support_23_3,,
136,device,Ma_fixed_support,Ma_fixed_support_24_1,,
137,device,Ma_fixed_support,Ma_fixed_support_24_2,,
138,device,Ma_fixed_support,Ma_fixed_support_24_3,,
139,device,Mb_fixed_support,Mb_fixed_support_01_1,,
140,device,Mb_fixed_support,Mb_fixed_support_01_2,,
141,device,Mb_fixed_support,Mb_fixed_support_01_3,,
142,device,Mb_fixed_support,Mb_fixed_support_02_1,,
143,device,Mb_fixed_support,Mb_fixed_support_02_2,,
144,device,Mb_fixed_support,Mb_fixed_support_02_3,,
145,device,Mb_fixed_support,Mb_fixed_support_03_1,,
146,device,Mb_fixed_support,Mb_fixed_support_03_2,,
147,device,Mb_fixed_support,Mb_fixed_support_03_3,,
148,device,Mb_fixed_support,Mb_fixed_support_04_1,,
149,device,Mb_fixed_support,Mb_fixed_support_04_2,,
150,device,Mb_fixed_support,Mb_fixed_support_04_3,,
151,device,Mb_fixed_support,Mb_fixed_support_05_1,,
152,device,Mb_fixed_support,Mb_fixed_support_05_2,,
153,device,Mb_fixed_support,Mb_fixed_support_05_3,,
154,device,Mb_fixed_support,Mb_fixed_support_06_1,,
155,device,Mb_fixed_support,Mb_fixed_support_06_2,,
156,device,Mb_fixed_support,Mb_fixed_support_06_3,,
157,device,Mb_fixed_support,Mb_fixed_support_07_1,,
158,device,Mb_fixed_support,Mb_fixed_support_07_2,,
159,device,Mb_fixed_support,Mb_fixed_support_07_3,,
160,device,Mb_fixed_support,Mb_fixed_support_08_1,,
161,device,Mb_fixed_support,Mb_fixed_support_08_2,,
162,device,Mb_fixed_support,Mb_fixed_support_08_3,,
163,device,Mb_fixed_support,Mb_fixed_support_09_1,,
164,device,Mb_fixed_support,Mb_fixed_support_09_2,,
165,device,Mb_fixed_support,Mb_fixed_support_09_3,,
166,device,Mb_fixed_support,Mb_fixed_support_10_1,,
167,device,Mb_fixed_support,Mb_fixed_support_10_2,,
168,device,Mb_fixed_support,Mb_fixed_support_10_3,,
169,device,Mb_fixed_support,Mb_fixed_support_11_1,,
170,device,Mb_fixed_support,Mb_fixed_support_11_2,,
171,device,Mb_fixed_support,Mb_fixed_support_11_3,,
172,device,Mb_fixed_support,Mb_fixed_support_12_1,,
173,device,Mb_fixed_support,Mb_fixed_support_12_2,,
174,device,Mb_fixed_support,Mb_fixed_support_12_3,,
175,device,Mb_fixed_support,Mb_fixed_support_13_1,,
176,device,Mb_fixed_support,Mb_fixed_support_13_2,,
177,device,Mb_fixed_support,Mb_fixed_support_13_3,,
178,device,Mb_fixed_support,Mb_fixed_support_14_1,,
179,device,Mb_fixed_support,Mb_fixed_support_14_2,,
180,device,Mb_fixed_support,Mb_fixed_support_14_3,,
181,device,Mb_fixed_support,Mb_fixed_support_15_1,,
182,device,Mb_fixed_support,Mb_fixed_support_15_2,,
183,device,Mb_fixed_support,Mb_fixed_support_15_3,,
184,device,Mb_fixed_support,Mb_fixed_support_16_1,,
185,device,Mb_fixed_support,Mb_fixed_support_16_2,,
186,device,Mb_fixed_support,Mb_fixed_support_16_3,,
187,device,Mb_fixed_support,Mb_fixed_support_17_1,,
188,device,Mb_fixed_support,Mb_fixed_support_17_2,,
189,device,Mb_fixed_support,Mb_fixed_support_17_3,,
190,device,Mb_fixed_support,Mb_fixed_support_18_1,,
191,device,Mb_fixed_support,Mb_fixed_support_18_2,,
192,device,Mb_fixed_support,Mb_fixed_support_18_3,,
193,device,Mb_fixed_support,Mb_fixed_support_19_1,,
194,device,Mb_fixed_support,Mb_fixed_support_19_2,,
195,device,Mb_fixed_support,Mb_fixed_support_19_3,,
196,device,Mb_fixed_support,Mb_fixed_support_20_1,,
197,device,Mb_fixed_support,Mb_fixed_support_20_2,,
198,device,Mb_fixed_support,Mb_fixed_support_20_3,,
199,device,Mb_fixed_support,Mb_fixed_support_21_1,,
200,device,Mb_fixed_support,Mb_fixed_support_21_2,,
201,device,Mb_fixed_support,Mb_fixed_support_21_3,,
202,device,Mb_fixed_support,Mb_fixed_support_22_1,,
203,device,Mb_fixed_support,Mb_fixed_support_22_2,,
204,device,Mb_fixed_support,Mb_fixed_support_22_3,,
205,device,Mb_fixed_support,Mb_fixed_support_23_1,,
206,device,Mb_fixed_support,Mb_fixed_support_23_2,,
207,device,Mb_fixed_support,Mb_fixed_support_23_3,,
208,device,Mb_fixed_support,Mb_fixed_support_24_1,,
209,device,Mb_fixed_support,Mb_fixed_support_24_2,,
210,device,Mb_fixed_support,Mb_fixed_support_24_3,,
211,device,Mb_fixed_support,Mb_fixed_support_25_1,,
212,device,Mb_fixed_support,Mb_fixed_support_25_2,,
213,device,Mb_fixed_support,Mb_fixed_support_25_3,,
214,device,Mb_fixed_support,Mb_fixed_support_26_1,,
215,device,Mb_fixed_support,Mb_fixed_support_26_2,,
216,device,Mb_fixed_support,Mb_fixed_support_26_3,,
217,device,Mb_fixed_support,Mb_fixed_support_27_1,,
218,device,Mb_fixed_support,Mb_fixed_support_27_2,,
219,device,Mb_fixed_support,Mb_fixed_support_27_3,,
220,device,Mb_fixed_support,Mb_fixed_support_28_1,,
221,device,Mb_fixed_support,Mb_fixed_support_28_2,,
222,device,Mb_fixed_support,Mb_fixed_support_28_3,,
223,device,Mb_fixed_support,Mb_fixed_support_29_1,,
224,device,Mb_fixed_support,Mb_fixed_support_29_2,,
225,device,Mb_fixed_support,Mb_fixed_support_29_3,,
226,device,Mb_fixed_support,Mb_fixed_support_30_1,,
227,device,Mb_fixed_support,Mb_fixed_support_30_2,,
228,device,Mb_fixed_support,Mb_fixed_support_30_3,,
229,device,Mb_fixed_support,Mb_fixed_support_31_1,,
230,device,Mb_fixed_support,Mb_fixed_support_31_2,,
231,device,Mb_fixed_support,Mb_fixed_support_31_3,,
232,device,Mb_fixed_support,Mb_fixed_support_32_1,,
233,device,Mb_fixed_support,Mb_fixed_support_32_2,,
234,device,Mb_fixed_support,Mb_fixed_support_32_3,,
235,device,Mb_fixed_support,Mb_fixed_support_33_1,,
236,device,Mb_fixed_support,Mb_fixed_support_33_2,,
237,device,Mb_fixed_support,Mb_fixed_support_33_3,,
238,device,Mb_fixed_support,Mb_fixed_supportr_34_1,,
239,device,Mb_fixed_support,Mb_fixed_supportr_34_2,,
240,device,Mb_fixed_support,Mb_fixed_supportr_34_3,,
241,device,Mb_fixed_support,Mb_fixed_support_35_1,,
242,device,Mb_fixed_support,Mb_fixed_support_35_2,,
243,device,Mb_fixed_support,Mb_fixed_support_35_3,,
244,device,Mb_fixed_support,Mb_fixed_support_36_1,,
245,device,Mb_fixed_support,Mb_fixed_support_36_2,,
246,device,Mb_fixed_support,Mb_fixed_support_36_3,,
247,device,Mb_fixed_support,Mb_fixed_support_37_1,,
248,device,Mb_fixed_support,Mb_fixed_support_37_2,,
249,device,Mb_fixed_support,Mb_fixed_support_37_3,,
250,device,focal_plane,focal_attitude_motor_01,step_length,
251,device,focal_plane,focal_attitude_motor_02,step_length,
252,device,focal_plane,focal_attitude_motor_03,step_length,
253,device,focal_plane,focal_rotation_motor,step_length,
254,device,focal_plane,focal_length_control_motor,step_length,
255,device,focal_plane, focal_lateral_displacement_motor,step_length,
256,device,dome_and_support_building,dome,open/close,
257,device,dome_and_support_building,elevator,,
258,device,dome_and_support_building,coating_machine,,
259,device,dome_and_support_building,ventilation_system,on/off,
260,device,dome_and_support_building,shutter,on/off,
261,device,dome_and_support_building,refrigeration,on/off,
262,device,dome_and_support_building,exhaust_fan,on/off,
263,device,structure,primary_mirror_frame,,
264,device,structure,secondary_mirror_frame,,
265,device,structure,focal_plane_frame,,
266,device,tracking_pointing_system,Ma_oil_pad,pressure_value,
267,device,tracking_pointing_system,Ma_vertical_angle_control_motor,step_length,
268,device,tracking_pointing_system,Ma_azimuthal_motor,step_length,
269,device,Ma_displacement_actuator,Ma_displacement_actuator_01_1,step_length,
270,device,Ma_displacement_actuator,Ma_displacement_actuator_01_2,step_length,
271,device,Ma_displacement_actuator,Ma_displacement_actuator_01_3,step_length,
272,device,Ma_displacement_actuator,Ma_displacement_actuator_02_1,step_length,
273,device,Ma_displacement_actuator,Ma_displacement_actuator_02_2,step_length,
274,device,Ma_displacement_actuator,Ma_displacement_actuator_02_3,step_length,
275,device,Ma_displacement_actuator,Ma_displacement_actuator_03_1,step_length,
276,device,Ma_displacement_actuator,Ma_displacement_actuator_03_2,step_length,
277,device,Ma_displacement_actuator,Ma_displacement_actuator_03_3,step_length,
278,device,Ma_displacement_actuator,Ma_displacement_actuator_04_1,step_length,
279,device,Ma_displacement_actuator,Ma_displacement_actuator_04_2,step_length,
280,device,Ma_displacement_actuator,Ma_displacement_actuator_04_3,step_length,
281,device,Ma_displacement_actuator,Ma_displacement_actuator_05_1,step_length,
282,device,Ma_displacement_actuator,Ma_displacement_actuator_05_2,step_length,
283,device,Ma_displacement_actuator,Ma_displacement_actuator_05_3,step_length,
284,device,Ma_displacement_actuator,Ma_displacement_actuator_06_1,step_length,
285,device,Ma_displacement_actuator,Ma_displacement_actuator_06_2,step_length,
286,device,Ma_displacement_actuator,Ma_displacement_actuator_06_3,step_length,
287,device,Ma_displacement_actuator,Ma_displacement_actuator_07_1,step_length,
288,device,Ma_displacement_actuator,Ma_displacement_actuator_07_2,step_length,
289,device,Ma_displacement_actuator,Ma_displacement_actuator_07_3,step_length,
290,device,Ma_displacement_actuator,Ma_displacement_actuator_08_1,step_length,
291,device,Ma_displacement_actuator,Ma_displacement_actuator_08_2,step_length,
292,device,Ma_displacement_actuator,Ma_displacement_actuator_08_3,step_length,
293,device,Ma_displacement_actuator,Ma_displacement_actuator_09_1,step_length,
294,device,Ma_displacement_actuator,Ma_displacement_actuator_09_2,step_length,
295,device,Ma_displacement_actuator,Ma_displacement_actuator_09_3,step_length,
296,device,Ma_displacement_actuator,Ma_displacement_actuator_10_1,step_length,
297,device,Ma_displacement_actuator,Ma_displacement_actuator_10_2,step_length,
298,device,Ma_displacement_actuator,Ma_displacement_actuator_10_3,step_length,
299,device,Ma_displacement_actuator,Ma_displacement_actuator_11_1,step_length,
300,device,Ma_displacement_actuator,Ma_displacement_actuator_11_2,step_length,
301,device,Ma_displacement_actuator,Ma_displacement_actuator_11_3,step_length,
302,device,Ma_displacement_actuator,Ma_displacement_actuator_12_1,step_length,
303,device,Ma_displacement_actuator,Ma_displacement_actuator_12_2,step_length,
304,device,Ma_displacement_actuator,Ma_displacement_actuator_12_3,step_length,
305,device,Ma_displacement_actuator,Ma_displacement_actuator_13_1,step_length,
306,device,Ma_displacement_actuator,Ma_displacement_actuator_13_2,step_length,
307,device,Ma_displacement_actuator,Ma_displacement_actuator_13_3,step_length,
308,device,Ma_displacement_actuator,Ma_displacement_actuator_14_1,step_length,
309,device,Ma_displacement_actuator,Ma_displacement_actuator_14_2,step_length,
310,device,Ma_displacement_actuator,Ma_displacement_actuator_14_3,step_length,
311,device,Ma_displacement_actuator,Ma_displacement_actuator_15_1,step_length,
312,device,Ma_displacement_actuator,Ma_displacement_actuator_15_2,step_length,
313,device,Ma_displacement_actuator,Ma_displacement_actuator_15_3,step_length,
314,device,Ma_displacement_actuator,Ma_displacement_actuator_16_1,step_length,
315,device,Ma_displacement_actuator,Ma_displacement_actuator_16_2,step_length,
316,device,Ma_displacement_actuator,Ma_displacement_actuator_16_3,step_length,
317,device,Ma_displacement_actuator,Ma_displacement_actuator_17_1,step_length,
318,device,Ma_displacement_actuator,Ma_displacement_actuator_17_2,step_length,
319,device,Ma_displacement_actuator,Ma_displacement_actuator_17_3,step_length,
320,device,Ma_displacement_actuator,Ma_displacement_actuator_18_1,step_length,
321,device,Ma_displacement_actuator,Ma_displacement_actuator_18_2,step_length,
322,device,Ma_displacement_actuator,Ma_displacement_actuator_18_3,step_length,
323,device,Ma_displacement_actuator,Ma_displacement_actuator_19_1,step_length,
324,device,Ma_displacement_actuator,Ma_displacement_actuator_19_2,step_length,
325,device,Ma_displacement_actuator,Ma_displacement_actuator_19_3,step_length,
326,device,Ma_displacement_actuator,Ma_displacement_actuator_20_1,step_length,
327,device,Ma_displacement_actuator,Ma_displacement_actuator_20_2,step_length,
328,device,Ma_displacement_actuator,Ma_displacement_actuator_20_3,step_length,
329,device,Ma_displacement_actuator,Ma_displacement_actuator_21_1,step_length,
330,device,Ma_displacement_actuator,Ma_displacement_actuator_21_2,step_length,
331,device,Ma_displacement_actuator,Ma_displacement_actuator_21_3,step_length,
332,device,Ma_displacement_actuator,Ma_displacement_actuator_22_1,step_length,
333,device,Ma_displacement_actuator,Ma_displacement_actuator_22_2,step_length,
334,device,Ma_displacement_actuator,Ma_displacement_actuator_22_3,step_length,
335,device,Ma_displacement_actuator,Ma_displacement_actuator_23_1,step_length,
336,device,Ma_displacement_actuator,Ma_displacement_actuator_23_2,step_length,
337,device,Ma_displacement_actuator,Ma_displacement_actuator_23_3,step_length,
338,device,Ma_displacement_actuator,Ma_displacement_actuator_24_1,step_length,
339,device,Ma_displacement_actuator,Ma_displacement_actuator_24_2,step_length,
340,device,Ma_displacement_actuator,Ma_displacement_actuator_24_3,step_length,
341,device,Mb_displacement_actuator,Mb_displacement_actuator_01_1,step_length,
342,device,Mb_displacement_actuator,Mb_displacement_actuator_01_2,step_length,
343,device,Mb_displacement_actuator,Mb_displacement_actuator_01_3,step_length,
344,device,Mb_displacement_actuator,Mb_displacement_actuator_02_1,step_length,
345,device,Mb_displacement_actuator,Mb_displacement_actuator_02_2,step_length,
346,device,Mb_displacement_actuator,Mb_displacement_actuator_02_3,step_length,
347,device,Mb_displacement_actuator,Mb_displacement_actuator_03_1,step_length,
348,device,Mb_displacement_actuator,Mb_displacement_actuator_03_2,step_length,
349,device,Mb_displacement_actuator,Mb_displacement_actuator_03_3,step_length,
350,device,Mb_displacement_actuator,Mb_displacement_actuator_04_1,step_length,
351,device,Mb_displacement_actuator,Mb_displacement_actuator_04_2,step_length,
352,device,Mb_displacement_actuator,Mb_displacement_actuator_04_3,step_length,
353,device,Mb_displacement_actuator,Mb_displacement_actuator_05_1,step_length,
354,device,Mb_displacement_actuator,Mb_displacement_actuator_05_2,step_length,
355,device,Mb_displacement_actuator,Mb_displacement_actuator_05_3,step_length,
356,device,Mb_displacement_actuator,Mb_displacement_actuator_06_1,step_length,
357,device,Mb_displacement_actuator,Mb_displacement_actuator_06_2,step_length,
358,device,Mb_displacement_actuator,Mb_displacement_actuator_06_3,step_length,
359,device,Mb_displacement_actuator,Mb_displacement_actuator_07_1,step_length,
360,device,Mb_displacement_actuator,Mb_displacement_actuator_07_2,step_length,
361,device,Mb_displacement_actuator,Mb_displacement_actuator_07_3,step_length,
362,device,Mb_displacement_actuator,Mb_displacement_actuator_08_1,step_length,
363,device,Mb_displacement_actuator,Mb_displacement_actuator_08_2,step_length,
364,device,Mb_displacement_actuator,Mb_displacement_actuator_08_3,step_length,
365,device,Mb_displacement_actuator,Mb_displacement_actuator_09_1,step_length,
366,device,Mb_displacement_actuator,Mb_displacement_actuator_09_2,step_length,
367,device,Mb_displacement_actuator,Mb_displacement_actuator_09_3,step_length,
